City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Keti Bandar,PK,24.1447,67.4497,82.54,71,0,16.78,clear sky
210,Parana,AR,-31.732,-60.5238,78.55,48,0,15.08,clear sky
211,Bahia Blanca,AR,-38.7196,-62.2724,70.61,41,100,9.24,overcast clouds
212,Dalbandin,PK,28.8947,64.4101,85.68,12,23,4.83,few clouds
213,Gravdal,NO,68.1214,13.5031,42.69,87,75,2.3,broken clouds
214,Kiruna,SE,67.8557,20.2251,40.12,65,20,8.05,few clouds
215,Uyo,NG,5.0333,7.9266,81.07,72,100,6.17,overcast clouds
216,Mahibadhoo,MV,3.7833,72.9667,85.06,67,50,5.12,scattered clouds
217,Antalaha,MG,-14.9003,50.2788,76.28,85,79,8.88,light rain
218,Soe,ID,-9.8607,124.284,63.48,78,8,3.96,clear sky
219,Atambua,ID,-9.1061,124.8925,71.35,82,21,3.94,few clouds
220,Faya,SA,18.3851,42.4509,68.2,42,34,6.82,scattered clouds
221,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,59.43,48,0,15.17,clear sky
222,Breyten,ZA,-26.3018,29.987,60.69,64,93,4.74,overcast clouds
223,Husavik,IS,66.0449,-17.3389,43.36,81,58,3.98,broken clouds
224,Great Falls,US,47.5002,-111.3008,44.69,66,82,4.0,broken clouds
225,Satipo,PE,-11.2522,-74.6386,86.32,56,100,2.95,overcast clouds
226,Lazaro Cardenas,MX,17.9583,-102.2,81.84,56,45,3.85,scattered clouds
227,Kirpilskaya,RU,45.377,39.6931,63.66,65,67,5.91,broken clouds
228,Margate,GB,51.3813,1.3862,54.7,75,1,10.0,clear sky
229,Maceio,BR,-9.6658,-35.7353,87.24,54,40,12.66,scattered clouds
230,Beringovskiy,RU,63.05,179.3167,11.23,97,80,2.66,broken clouds
231,Vila Velha,BR,-20.3297,-40.2925,82.94,73,1,13.0,clear sky
232,Nanortalik,GL,60.1432,-45.2371,39.07,86,87,4.36,overcast clouds
233,Esperance,AU,-33.8667,121.9,59.77,85,1,11.83,clear sky
234,Shostka,UA,51.863,33.4698,53.89,67,55,6.82,broken clouds
235,Pevek,RU,69.7008,170.3133,-0.15,99,99,3.74,overcast clouds
236,Cockburn Town,TC,21.4612,-71.1419,77.59,71,100,17.78,overcast clouds
237,Tiznit,MA,29.5833,-9.5,56.89,71,100,14.88,overcast clouds
238,Broadford,AU,-37.2,145.0667,50.54,96,54,4.03,broken clouds
239,Marawi,PH,7.9986,124.2928,70.05,93,94,2.44,overcast clouds
240,Saint-Augustin,CA,51.226,-58.6502,38.95,90,100,19.13,overcast clouds
241,Torbay,CA,47.6666,-52.7314,39.27,94,100,20.71,fog
242,Chandbali,IN,20.7833,86.7667,84.56,77,55,12.44,broken clouds
243,Bilma,NE,18.6853,12.9164,104.67,7,4,7.92,clear sky
244,Hami,CN,42.8,93.45,67.14,32,64,18.9,broken clouds
245,Marabba,SD,12.35,32.1833,102.25,10,5,4.9,clear sky
246,Bikaner,IN,28.0167,73.3,88.57,11,6,3.98,clear sky
247,Kamaishi,JP,39.2667,141.8833,53.2,91,52,6.53,broken clouds
248,Sur,OM,22.5667,59.5289,87.04,51,35,4.41,scattered clouds
249,Provideniya,RU,64.3833,-173.3,22.57,79,6,3.83,clear sky
250,Jerome,US,42.7241,-114.5186,45.68,64,0,3.0,clear sky
251,Srednekolymsk,RU,67.45,153.6833,7.38,98,93,7.7,overcast clouds
252,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,56,40,10.36,scattered clouds
253,San Quintin,MX,30.4833,-115.95,66.15,51,0,3.24,clear sky
254,Uglich,RU,57.5275,38.3317,49.44,90,100,3.83,light rain
255,Krasnoselkup,RU,65.7,82.4667,1.08,99,84,1.74,broken clouds
